translationKey,sourceValue,overrideValue
confirm_subject.Archive_Item,Archive Item,Archive Item
reports_fertilizertype.Fertilizer_type,Fertilizer type,Fertilizer type
reportsviewheading.Voucher_report_per_county_per_depot,Voucher report per county per depot,Voucher report per county per depot
column.paymentPreference,PaymentPreference,PaymentPreference
alert_error.no_message_origin,alert_error.no_message_origin,alert_error.no_message_origin
alert.role_created,New user role created.,New user role created.
alert.message.error,Please complete the comment field,Please complete the comment field
custom_header.hierarchy_level_two,Hierarchy level two,Hierarchy level two
view_heading.verify_farmer_crop,Verify farmer crop,Verify farmer crop
view_heading.audit_scheduled_function_log,Audit scheduled function log,Audit scheduled function log
row_action.Assign,Assign,Assign
table_heading.Order_Items,Order Items,Order Items
alert_error.heirerchy_setup,Please create full user hierarchy first,Please create full user hierarchy first
view_heading.User_bulk_message,User bulk message,User bulk message
column.Voucher_Code,Voucher Code,Voucher Code
string_label.Barcode,Barcode,Barcode
label.outstanding_balance,Outstanding balance,Outstanding balance
view_heading.create_farmer,Create farmer,Create farmer
reports_generic.Definitions,Definitions,Definitions
stringgroup.VersionKey,VersionKey,VersionKey
string_label.Enrolled,Enrolled,Enrolled
info.Total_Amount,Total Amount,Total Amount
view_heading.Deployment_Variables,Deployment Variables,Deployment Variables
reports_registeredfarmers.Registered_Farmers,Registered Farmers,Registered Farmers
view_heading.manage_voucher_batch,Manage voucher batch,Manage voucher batch
confirm_subject.finalise,Finalise Voucher,Finalise Voucher
alert.error.service_point.invalid_location,Please select a location,Please select a location
Select_Delivery_Status,Select Delivery Status,Select Delivery Status
alert_error.invalid_mobilenumber,No mobile number specified.,No mobile number specified.
column_heading.voucher_batch_requestcode,Voucher batch requestcode,Voucher batch requestcode
button.Refresh_Filter,Refresh Filter,Refresh Filter
string_label.Name,Name,Name
column_heading.DateCreated,DateCreated,DateCreated
reportsviewheading.Filtered_Voucher_Redemption_Report,Filtered Voucher Redemption Report,Filtered Voucher Redemption Report
table_heading.Farmers_by_Gender,Farmers by Gender,Farmers by Gender
column.expired,Expired,Expired
view_heading.Manage_Role_Groups,Manage Role Groups,Manage Role Groups
column.Total_Cost_To_Farmer,Total Cost To Farmer,Total Cost To Farmer
string_label.Journey_Version,Journey Version,Journey Version
button.Error_logs,Error logs,Error logs
label.new_quantity,New quantity,New quantity
confirm_subject.removing_identity,Delete identification,Delete identification
column_heading.status_date,Status Date,Status Date
action.back,Back,Back
column.Recipient_Name,Recipient Name,Recipient Name
column_heading.event_desc,Event desc,Event desc
view_heading.manage_voucher_category,Manage voucher category,Manage voucher category
string_label.parent_location,Parent location,Parent location
button.add_mobile_user,Add mobile user,Add mobile user
reports_allocated.Allocated)(Bags),Allocated)(Bags),Allocated)(Bags)
custom_header.hierarchy_level_ten,Hierarchy level ten,Hierarchy level ten
custom_header.crop11,{DashboardUtil:uCrop11},{DashboardUtil:uCrop11}
table_heading.configs,Configs,Configs
alert.uploadfile.confirmuploaddone,The file has been uploaded.,The file has been uploaded.
column_heading.voucher_batch,Voucher batch,Voucher batch
column.Recipient_Number,Recipient Number,Recipient Number
label.id_number,Id number,Id number
column.Last_Connected,Last Connected,Last Connected
input.stock_item_csv,Stock item csv,Stock item csv
view_heading.Create_Sms_Language,Create Sms Language,Create Sms Language
custom_header.Eligible_Voucher_Value,{Reportviewer:uEligibleVoucherRequestHeader},{Reportviewer:uEligibleVoucherRequestHeader}
reports_sold.Quantity_Sold,Quantity Sold,Quantity Sold
string_label.Mobile_number,Mobile number,Mobile number
column.Content,Content,Content
column_heading.datetimestampStarted,DatetimestampStarted,DatetimestampStarted
reportsviewheading.Voucher_Redemption_Report,Voucher Redemption Report,Voucher Redemption Report
view_heading.view_farmer_payment,View farmer payment,View farmer payment
column_heading.Message_Id,Message Id,Message Id
view_heading.manage_extension_officer_profile,Manage extension officer profile,Manage extension officer profile
info.Number_of_recipients_in_groups,Number of recipients in groups,Number of recipients in groups
table_heading.selected_fertilizer,Selected fertilizer,Selected fertilizer
label.Voucher_Batch,Voucher Batch,Voucher Batch
table_column_heading.location_level_eight,location_level_eight,location_level_eight
reports_balance.Balance_(Bags),Balance (Bags),Balance (Bags)
table_heading.Translation_Keys,Translation Keys,Translation Keys
custom_header.reportsgenerictemplate_column_decimal10,{ReportsGenericViewerLabels:column_decimal10},{ReportsGenericViewerLabels:column_decimal10}
alert.uploadfile.confirmdeletebody,Please confirm that you wish to delete this uploaded file?,Please confirm that you wish to delete this uploaded file?
reports_countydepot.County-Depot,County-Depot,County-Depot
alert.object.voucher_batch_no_category,Please select a category.,Please select a category.
column_heading.User,User,User
custom_header.reportsgenerictemplate_column_int6,{ReportsGenericViewerLabels:column_int6},{ReportsGenericViewerLabels:column_int6}
button.add_farmer_crop,Add farmer crop,Add farmer crop
label.leased_LR_number,Leased LR number,Leased LR number
custom_header.crop4,{DashboardUtil:uCrop4},{DashboardUtil:uCrop4}
custom_header.question_3,{Reportviewer:uQuestion3Header},{Reportviewer:uQuestion3Header}
column.mobile_number,Mobile number,Mobile number
view_heading.Group_Message,Group Message,Group Message
button_heading.Select,Select,Select
reportsviewheading.Configurable_Forms,Configurable Forms,Configurable Forms
column_heading.date,Date,Date
column_heading.Question_Number,Question Number,Question Number
custom_header.reportsgenerictemplate_column_int7,{ReportsGenericViewerLabels:column_int7},{ReportsGenericViewerLabels:column_int7}
reports_allocationorbudgetksh.Allocation_or_Budget_(Ksh),Allocation or Budget (Ksh),Allocation or Budget (Ksh)
row_action.Select,Select,Select
column.paid,Paid,Paid
input.messageOriginInject_sms,MessageOriginInject sms,MessageOriginInject sms
